Course Code,Course Name,L,T,P,S,C,Faculty,Classroom
-,Linear Algebra,3,1,0,0,2,Dr. Somen Bhattacharjee,C205
-,Optimization,3,1,0,0,2,Dr. Dibyajyoti Guha,Will be scheduled Post MidSem
-,Computer Architecture,3,1,0,0,2,Dr.Jagadish D N,Will be scheduled Post MidSem
-,English Language and Communication,3,0,0,0,3,Dr. Rajesh N S,C205/C004(Friday)
-,Data Structures and Algorithms,3,0,2,0,4,Dr. Prabhu Prasad,C205
-,Network Analysis,2,1,0,0,3,Dr. Sibasankar Padhy,C205
B1(ASD151/HS151/New/New/New/New),Introduction to Design/Introduction to Personal Finance/Introduction to Internet of Things/Concurrency and Computation/Computer Intensive Statistical Methods/Industry Insights Program Part 1,1.5,1,0,0,2,Dr. Sandesh P/Dr. Siddharth/Dr Jagadeesha Bhat/Dr Pramod Y/Dr Ramesh Athe/Mr. Ram Subramanian & Mr. Sasi Kumar Sundara Rajan,C204/C202/C203/C202/C203/C204
B2(New/New/New/New/New),Introduction to Digital VLSI Design/Photography101/Linux for Engineers/Data Science with Python/Introduction to Holistic Personality Development,1.5,2,0,0,2,Dr Prakash Pawar/Dr Prabhu Prasad BM/Dr. Shirshendu L/Dr. Abdul Wahid/ Prof. Chachadi and Dr. Chandrika K,Will be scheduled Post MidSem/Will be scheduled Post MidSem/Will be scheduled Post MidSem/Will be scheduled Post MidSem/Will be scheduled Post MidSem
