Course Code,Course Name,	L,	T,	P,	S,	C,	Faculty,	Classroom
MA208,	Probability and Random Processes,	3,	1,	0,	0,	4,	Dr. Rajib Sharma,	C101
EC205,	Control Systems,	3,	0,	2,	0,	4,	Dr. Pankaj Kumar,	C101
EC310,	Embedded Systems Design,	3,	1,	0,	0,	4,	Dr. Prakash Pawar,	C101
EC204,	Analog and Digital Communication,	3,	1,	2,	0,	5,	Dr. Somen Bhattacharjee / Dr. Jagadish D N (Lab),	C101
HS204,	Economics,	3,	1,	0,	0,	4,	Dr. Anushree Kini,	C101
HS205,	Ethics,	3,	0,	0,	0,	3,	Dr. Jolly Thomas IIT Dharwad,	C004
