Course Code,Course Name,L-T-P-S-C,Faculty
DS309,Cloud Computing,3-0-0-4-4,Dr. Animesh Chaturvedi
DS306,Financial Data Analytics,3-0-0-4-4,Dr. Utkarsh Khaire
DS307,Innovation & Entrepreneurship,3-1-0-0-4,Mr. Ram Subramanian
DS308,Data Security & Privacy,3-1-0-0-4,Dr. Abdul Wahid & Dr. Rajendra Hegadi
Elective,Deep Learning for Computer Vision/ Large Languange Models/ Natural Language Processing/ Deep Speech Processing/ CMOS RF Circuit Design/ Blockchain Technology/ Introduction to 5G Network/ Model Checking/ Quantum Communication/ Quantum HPC and AI/ Design Thinking and Innovation,3-1-0-0-4,Dr. Chinmayanand
DS399,Mini Project-I,0-0-0-8-2, Coordinator: Dr. Shirshendu
HS101,Environmental Studies,0-0-0-8-2, -
