Course Code,Course Name,L,T,P,S,C,Faculty,Classroom
MA163,Linear Algebra,3,1,0,0,2,Dr. Sibasankar Padhy,C204
CS162,Optimization,3,1,0,0,2,Dr. Dibyajyoti Guha,Will be scheduled Post MidSem
CS164,Computer Architecture,3,1,0,0,2,Dr. Manjunath,Will be scheduled Post MidSem
HS161,HSS / IE-Economics,3,0,0,0,3,Dr.Manjunath KV,C204
CS163,Data Structures & Algorithms,3,0,2,0,4,Dr. Sunil Saumya,C204
DS164,Data Curation Techniques, 2,0,2,0,3,Dr. Siddharth R,C002
B1(ASD151/HS151/New/New/New/New),Introduction to Design/Introduction to Personal Finance/Introduction to Internet of Things/Concurrency and Computation/Computer Intensive Statistical Methods/Industry Insights Program Part 1,1.5,1,0,0,2,Dr. Sandesh P/Dr. Siddharth/Dr Jagadeesha Bhat/Dr Pramod Y/Dr Ramesh Athe/Mr. Ram Subramanian & Mr. Sasi Kumar Sundara Rajan,C204/C202/C203/C202/C203/C204
B2(New/New/New/New/New),Introduction to Digital VLSI Design/Photography101/Linux for Engineers/Data Science with Python/Introduction to Holistic Personality Development,1.5,2,0,0,2,Dr Prakash Pawar/Dr Prabhu Prasad BM/Dr. Shirshendu L/Dr. Abdul Wahid/ Prof. Chachadi and Dr. Chandrika K,Will be scheduled Post MidSem/Will be scheduled Post MidSem/Will be scheduled Post MidSem/Will be scheduled Post MidSem/Will be scheduled Post MidSem
